Date ,series ,Open,HIGH ,LOW ,PREV. CLOSE ,ltp ,Price ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Helper
25-Sep-19,EQ,"1,437.00","1,437.00","1,398.00","1,429.00","1,398.50","1,406.20","1,414.46","1,545.00","1,030.60",162380,"229,680,359.50",6774,29
26-Sep-19,EQ,"1,400.00","1,414.00","1,382.30","1,406.20","1,391.40","1,389.40","1,391.53","1,545.00","1,030.60",322106,"448,219,383.35",10918,30
27-Sep-19,EQ,"1,355.00","1,408.30","1,355.00","1,389.40","1,394.00","1,394.05","1,389.77","1,545.00","1,030.60",313134,"435,185,404.95",29876,31
30-Sep-19,EQ,"1,394.05","1,416.00","1,387.05","1,394.05","1,395.00","1,394.90","1,398.60","1,545.00","1,030.60",295143,"412,788,151.90",21599,32
1-Oct-19,EQ,"1,415.00","1,415.00","1,338.05","1,394.90","1,359.30","1,349.65","1,355.66","1,545.00","1,030.60",314752,"426,696,064.15",14563,33
3-Oct-19,EQ,"1,358.10","1,380.00","1,343.05","1,349.65","1,366.05","1,368.00","1,364.45","1,545.00","1,030.60",268527,"366,392,785.80",16102,34
4-Oct-19,EQ,"1,368.00","1,387.00","1,346.35","1,368.00","1,372.30","1,380.00","1,369.17","1,545.00","1,030.60",330709,"452,795,288.55",17764,35
7-Oct-19,EQ,"1,383.45","1,393.00","1,357.20","1,380.00","1,388.45","1,384.60","1,380.29","1,545.00","1,030.60",184904,"255,220,285.05",10987,36
9-Oct-19,EQ,"1,381.00","1,389.10","1,360.15","1,384.60","1,371.20","1,373.35","1,373.02","1,545.00","1,030.60",177260,"243,382,241.20",16203,37
10-Oct-19,EQ,"1,357.50","1,381.75","1,351.00","1,373.35","1,365.00","1,361.10","1,364.24","1,545.00","1,030.60",152606,"208,191,488.30",7783,38
11-Oct-19,EQ,"1,355.00","1,417.60","1,350.80","1,361.10","1,406.05","1,412.10","1,397.50","1,545.00","1,030.60",397760,"555,870,308.25",16841,39
14-Oct-19,EQ,"1,410.00","1,415.00","1,390.00","1,412.10","1,393.00","1,396.50","1,401.76","1,545.00","1,030.60",203559,"285,341,450.30",9256,40
